,Close,compound,negative,neutral,positive,Open,High,Low,Volume
2016-10-25,1060.85,-0.9999,0.158,0.756,0.086,1065.0,1065.25,1054.2,1750711.0
2016-10-26,1054.05,-0.9999,0.14,0.771,0.089,1056.05,1059.45,1052.1,2502055.0
2016-10-27,1048.7,-0.9999,0.15,0.751,0.099,1051.1,1053.9,1043.4,2935574.0
2016-10-28,1054.95,-0.9998,0.135,0.77,0.095,1050.0,1058.0,1043.8,1857917.0
2016-10-30,1051.2,0.9991,0.123,0.732,0.145,1058.75,1058.75,1046.3,362170.0
2016-11-01,1051.0,-0.9996,0.139,0.747,0.114,1051.3,1055.95,1047.4,2337011.0
2016-11-02,1023.75,-0.9999,0.149,0.753,0.098,1041.0,1042.85,1021.0,1609225.0
2016-11-03,1023.95,-0.9999,0.141,0.781,0.078,1023.85,1034.75,1020.6,1671371.0
2016-11-04,1005.55,-0.9999,0.17,0.745,0.085,1020.25,1026.9,1000.0,2636911.0
2016-11-07,1001.15,-0.9999,0.16,0.746,0.094,1014.0,1016.55,999.05,2172921.0
2016-11-08,1003.5,-1.0,0.17,0.75,0.08,1005.7,1005.7,998.3,3070346.0
2016-11-09,1004.6,-0.9999,0.134,0.793,0.073,950.0,1009.0,930.0,4946573.0
2016-11-10,1010.4,-0.9999,0.147,0.76,0.093,1018.6,1028.95,1007.0,2231907.0
2016-11-11,1001.75,-0.9999,0.132,0.79,0.078,997.85,1017.5,995.1,3377392.0
2016-11-15,985.4,-0.9993,0.126,0.768,0.106,996.5,1000.0,979.55,3311592.0
2016-11-16,986.55,-0.9999,0.145,0.782,0.073,995.0,996.8,980.7,3783226.0
2016-11-17,977.75,-0.9999,0.14,0.774,0.085,986.0,998.15,974.4,2886635.0
2016-11-18,987.5,-0.9998,0.136,0.763,0.101,985.0,992.7,982.0,4151928.0
2016-11-21,991.5,-0.9994,0.143,0.739,0.119,987.55,993.55,983.2,3024712.0
2016-11-22,1001.45,-0.9999,0.14,0.775,0.085,997.7,1007.8,993.3,4033660.0
2016-11-23,1009.0,-0.9999,0.149,0.767,0.084,1005.0,1010.5,999.55,2996248.0
2016-11-24,987.35,-0.9997,0.126,0.782,0.092,1005.55,1005.55,982.2,4323375.0
2016-11-25,993.7,-0.9999,0.149,0.779,0.072,990.0,995.9,984.35,2389829.0
2016-11-28,986.65,-0.999,0.129,0.759,0.112,993.0,1000.6,984.1,1900161.0
2016-11-29,997.7,-0.9999,0.145,0.761,0.094,989.0,1004.3,988.05,2259609.0
2016-11-30,990.05,-0.9999,0.153,0.767,0.079,999.95,999.95,986.65,6308004.0
2016-12-01,997.75,-0.9998,0.137,0.772,0.091,1000.0,1015.0,995.0,2886513.0
2016-12-02,994.75,-0.9998,0.143,0.753,0.104,995.9,1005.0,991.8,2853045.0
2016-12-05,993.85,-0.9959,0.13,0.747,0.123,995.0,999.7,986.5,911410.0
2016-12-06,1005.2,-0.9998,0.129,0.783,0.088,996.0,1006.55,994.6,1537535.0
2016-12-07,999.15,-0.9997,0.118,0.802,0.081,1004.0,1007.6,996.35,1127113.0
2016-12-08,1020.05,-0.9997,0.132,0.767,0.101,1005.05,1021.8,1004.35,2000230.0
2016-12-09,1028.95,-0.9999,0.142,0.771,0.087,1022.0,1031.85,1020.3,1883333.0
2016-12-12,1027.2,-0.9998,0.138,0.759,0.102,1020.5,1041.7,1020.5,2062700.0
2016-12-13,1039.8,-0.9999,0.145,0.765,0.09,1028.0,1041.0,1027.55,2369453.0
2016-12-14,1059.5,-0.9999,0.144,0.778,0.078,1039.8,1064.45,1038.2,5517829.0
2016-12-15,1052.95,-0.9999,0.133,0.783,0.084,1052.4,1067.6,1048.65,4418967.0
2016-12-16,1057.15,-0.9998,0.131,0.777,0.092,1052.0,1062.0,1052.0,3415537.0
2016-12-19,1062.55,-0.9997,0.136,0.757,0.107,1055.0,1066.95,1054.35,3430950.0
2016-12-20,1057.9,-0.9998,0.133,0.777,0.09,1054.7,1061.0,1053.15,2671719.0
2016-12-21,1063.25,-0.9997,0.122,0.791,0.087,1060.1,1067.3,1057.2,4655758.0
2016-12-22,1053.35,-0.9998,0.122,0.796,0.081,1058.0,1062.65,1050.95,6604416.0
2016-12-23,1057.3,-0.9998,0.131,0.774,0.095,1052.0,1068.95,1052.0,2346414.0
2016-12-26,1047.45,-0.9998,0.143,0.756,0.101,1054.35,1066.0,1044.65,3502299.0
2016-12-27,1064.7,-0.9998,0.125,0.786,0.089,1047.85,1067.1,1047.0,3987142.0
2016-12-28,1049.7,-0.9999,0.137,0.778,0.084,1067.9,1069.55,1047.1,2202927.0
2016-12-29,1065.45,-0.9998,0.138,0.765,0.096,1050.0,1068.8,1049.5,2005206.0
2016-12-30,1082.4,-0.9994,0.12,0.782,0.099,1064.8,1085.0,1063.1,3591493.0
2017-01-02,1085.1,-0.9999,0.154,0.751,0.095,1084.0,1090.0,1072.35,1622458.0
2017-01-03,1089.4,-0.9997,0.127,0.782,0.091,1089.85,1097.0,1081.1,1470751.0
2017-01-04,1067.15,-0.9999,0.136,0.78,0.084,1092.9,1093.0,1064.3,2375547.0
2017-01-05,1077.4,-0.9998,0.134,0.775,0.091,1071.0,1079.9,1068.75,1996483.0
2017-01-06,1074.95,-0.9998,0.135,0.771,0.094,1074.2,1085.0,1073.1,1793427.0
2017-01-09,1077.7,-0.9996,0.125,0.783,0.092,1077.0,1086.0,1071.0,1195257.0
